User,Tweet,Date,Source,Profile Photo
AnnaKarlaneves6,@Aguiarthur Estou super ansiosa pra ida dele pra casa!! Genteeeeeeee pra conhecer ele melhor e aquele ponto ás cois… https://t.co/MrS1ba8YN1,Thu Jan 20 03:01:50 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483614792967458828/o41HUTJ__normal.jpg
sabrinacarvalio,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 03:01:45 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1262036334782427138/VMHsTKeK_normal.jpg
jackcocochanel,@Aguiarthur Me segue porfavor! ❤✨✨✨✨,Thu Jan 20 03:01:42 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
thaybelikov,"@Aguiarthur Vem aí, depois de tanta espera 😍✨✨",Thu Jan 20 03:01:40 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482163102271610885/MNbGSop8_normal.jpg
hxneydream,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Thu Jan 20 03:01:37 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1480225443760558082/RelxSvig_normal.jpg
caraiguitz,RT @_gabisfc: quando o Arthur Aguiar entrar acaba o #BBB22 e começa o: https://t.co/xPkjGBSLgl,Thu Jan 20 03:01:32 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1445678046296481797/zWoXoWwu_normal.jpg
jackcocochanel,@Aguiarthur Me segue adm!!!! ❤✨,Thu Jan 20 03:01:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
mininugiam,"RT @balotaromantico: Arthur aguiar entra no bbb

o programa automaticamente: https://t.co/CEtJtmm3R0",Thu Jan 20 03:01:22 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1468774100118220802/yEC6Q_tM_normal.jpg
oretweete,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 03:01:20 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1441754992176599046/dUwXp4Ke_normal.jpg
Lorhan52308211,RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,Thu Jan 20 03:01:18 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483892850492334083/7xmS2xNz_normal.jpg
jackcocochanel,@Aguiarthur Adm me segueeeee,Thu Jan 20 03:01:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
natbarcelos31,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 03:01:13 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1473057695242625041/0LEjgB5A_normal.jpg
