User,Tweet,Date,Source,Profile Photo
naoacheiumuser,@Aguiarthur Que dança é essa meu pai?,Thu Jan 20 01:19:24 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1448476344506011654/kIFMMs7C_normal.jpg
luccoment,@Aguiarthur só vem papis,Thu Jan 20 01:19:23 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483966796541616134/9B8u47t-_normal.jpg
ameixa_0,"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:19:04 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1476096874788667393/8RYuiLyI_normal.jpg
maluzinha1515,RT @Aguiarthur: AMANHÃ É O GRANDE DIA! ✨💛,Thu Jan 20 01:19:04 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1477410255025889282/vI_ILt6U_normal.jpg
fofocanosite,"ELES ESTÃO CHEGANDO 🚨! Arthur Aguiar, Jade Picon e Linn da Quebrada, testaram negativ0 pra cov1d-19 e entrarão na c… https://t.co/T4F95J57T3",Thu Jan 20 01:18:57 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1441864840574799875/UeNzmsit_normal.jpg
viniciuswildsid,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Thu Jan 20 01:18:49 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483942275625455618/gYHwjkQJ_normal.jpg
GabsHanagaki,"RT @choquei: Jade Picon, Linn da Quebrada e Arthur Aguiar estão negativados para a COVID-19. Eles entrarão na casa amanhã pela manhã. #BBB22",Thu Jan 20 01:18:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1478571372653723658/g65VU5Xe_normal.jpg
seokluvxx,"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:18:38 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1481668719982129153/qhOWVEYf_normal.jpg
meanjjoe,"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:18:37 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1179208168825659392/V-E60qia_normal.png
JaoCarvalho18,"Sem nada pra fazer, então decidi fazer uma lista dos meus favs e odiados a cada semana do #BBB222:

Favs:
1- Jade P… https://t.co/JJaymfC5iI",Thu Jan 20 01:18:31 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481727264966467587/P_IhG7Nk_normal.jpg
ca_vianaa,RT @_gabbre: sdd de quando arthur aguiar era apenas diego namorado de roberta,Thu Jan 20 01:18:26 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1479642516437753858/U2jjNteV_normal.jpg
Moreira024,"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:18:26 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1473869909356654592/3pCHrDBA_normal.jpg
luysaMARIA4,"RT @NazareAmarga: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/IxtkFlGuUq",Thu Jan 20 01:18:09 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1480433477325668352/Qn60un5W_normal.jpg
Ewertontuita,@Aguiarthur Segue segue segue,Thu Jan 20 01:18:09 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1477871682534658048/05Hio3YB_normal.jpg
OxiiBiaa,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:17:52 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1408943670796115973/UC51jMn0_normal.jpg
866bernal,"podem até me julgar mas minha opinião sobre esse tal de Arthur Aguiar, um homem que traiu 16 vezes a esposa e foi p… https://t.co/pYPK0nadzt",Thu Jan 20 01:17:51 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1470113455415955468/n5NwH9Jb_normal.jpg
matheusogb,@Juu_gabri @laraju26 Se você soubesse o tanto de chifres que estão sendo descobertos aqui no monte a nível Arthur A… https://t.co/pfLwqYFmho,Thu Jan 20 01:17:50 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1448056179054284801/2C38J6i-_normal.jpg
chandliel,quase colocando juridico arthur aguiar no nome so consigo pensar aquele homem todo momento,Thu Jan 20 01:17:48 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483285139329372160/X8Uux4u2_normal.jpg
Cinlinda123,@cewcilya @Aguiarthur Bjs🤗,Thu Jan 20 01:17:47 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1472600563565182978/-61OrBoA_normal.jpg
