Tweet
"('RT @Marydomessi: Arthur Aguiar é flamenguista, outro bom motivo pra eliminar.',)"
"('Arthur Aguiar no bbb22, boninho passou dos limites en.🥴',)"
"('Com Arthur Aguiar tbm* https://t.co/KWLo1VRsYX',)"
"('RT @chicobarney: Arthur Aguiar no #BBB22 é o Brasil feliz de novo. Golaço.',)"
"('RT @heroinadolixo: meu deus o arthur aguiar pegando o violao pra cantar rebelde brasil nas festas karaoke',)"
"('colocaram Arthur Aguiar invés de loma, q erro boninho',)"
"('RT @wallvasco: Já venho aqui deixar claro que eu estou na torcida de Arthur Aguiar, uma vítima da sociedade parece que incomoda muito',)"
"('Trabalhei algumas vezes com o Arthur Aguiar, gente boa e não ficava mto de lero lero, era chegar e gravar. Horário não era o forte dele kkkk',)"
"('RT @Sukitabr: Simplesmente Arthur Aguiar, o homem mais romantico do brasil',)"
"('RT @maiconkusterk: arthur aguiar vai trair a esposa quantas vezes no bbb?',)"
"('RT @naosei187: O Arthur Aguiar realmente tá no BBB gente #bbb2022 https://t.co/zwFQulLm88',)"
"('RT @nathmovilla: Sabe qual o pior? Tem grandes chances do Arthur Aguiar ter uma atitude completamente normal e o povo começar a enaltecer e…',)"
"('mas pensando bem aqui. arthur aguiar muito carudo pq se eu fosse cancelada igual ele é já eu não entrava nunca nessa vida',)"
"('Quantos dias até o arthur aguiar dar ideia em alguma mina dentro do BBB? \n\nEu chuto 2 dias',)"
"('RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.',)"
"('arthur aguiar tem é coragem viu… mal se limpou da merda e já que se sujar de novo',)"
"('eae seus arthur aguiar',)"
"('já tenho meu ranço no bbb22, arthur aguiar 🤮🤮🤮',)"
"('bolão de quantas vezes o Arthur Aguiar vai trair a esposa no bbb',)"
"('Arthur Aguiar vai providenciar mais um chifre pra esposa?',)"
"('Titia aqui adorou uns três pipocas do @bbb até agora, e considera que sim, o Arthur Aguiar estava previsível pra caramba.',)"
"('mano me decepcionei tanto com o arthur aguiar que ódio eu era fã desse imbecil  😭😭😭😭',)"
"('Quantos dias para Arthur Aguiar está cancelado aqui fora? #bbb22',)"
"('RT @rafaelkjls: o emoji da torcida do arthur aguiar vai ser uma aliança?',)"
"('eu já adianto que minha torcida vai para o arthur aguiar pois além de cancelado É MEU IDOLO DE REBELDE BRASIL MEU ETERNO DIEGO MALDONADO',)"
"('prova de resistência do arthur aguiar vai ser um teste de fidelidade kkkkkkkkkk',)"
"('acho que o funcionário que apertou o botão da chamada do arthur aguiar antes da hora tá passando no RH essas horas #BBB22',)"
"('RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional',)"
"('ator da geração e pai de família, você quer arthur aguiar? https://t.co/Kdw9VXWsHy',)"
"('já estou pensando no pior: luciano conversando sobre não-monogamia com arthur aguiar',)"
"('RT @B16caio: Arthur Aguiar e Icardi no BBB seria o maior entretenimento da história',)"
"('RT @badgalmafe: gente mas que sequência foi essa 6 pipocas ARTHUR AGUIAR 2 pipocas!?????? se quiser ajuda é só pedir globo',)"
"('Arthur Aguiar no bbb22 "" agora a sua esposa pode dormir tranquila,  o Brasil todo está de olho nele 🤣🤣🤣🤣🤡🤡🤡🤡🤡🤡🤡🤡',)"
"('RT @LucasRanngel: ARTHUR AGUIAR TA MESMO!!! PQP',)"
"('Arthur Aguiar foi realmente pro bbb e eu to só esperando ele trair a Maira em rede nacional',)"
"('RT @crisayonara: arthur aguiar é o primeiro camarote confirmado no #bbb22, ele foi assunto recentemente nas redes sociais por assumir ter t…',)"
"('RT @onelovelaham: jade picona e arthur aguiar numa prova de resistência ganha quem já passou mais tempo resistindo pra não colocar chifre n…',)"
"('RT @bbb: Arthur Aguiar é participante do #BBB22; conheça! 👉https://t.co/h4iITbubj9 #RedeBBB https://t.co/aCysP6l4Rs',)"
"('RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0',)"
"('RT @sitetvpop: O primeiro participante confirmado do Camarote do #BBB22 é o Arthur Aguiar. 32 anos, ator, cantor e traiu a mulher 16 vezes.…',)"
"('Arthur Aguiar saiu do rebeldes Brasil e até conseguiu emplacar de primeira porém dps só ladeira abaixo kkkk\n\njá o c… https://t.co/RCJ4EljZW5',)"
"('Eu acho que o estagiário do #bbb22 apertou o botão errado e lançou Arthur Aguiar, pq foi o único do camarote que apareceu 🙄 #bigday',)"
"('RT @NazareAmarga: Arthur Aguiar no BBB e a primeira prova de resistência é ver quanto tempo ele aguenta ficar sem trair a mulher dele #BBB22',)"
"('RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0',)"
"('RT @NazareAmarga: Arthur Aguiar no BBB e a primeira prova de resistência é ver quanto tempo ele aguenta ficar sem trair a mulher dele #BBB22',)"
"('RT @SucoDeFruta2019: @legadaodamassa Provas de resistência personalizadas:\n\nLuciano: 30 minutos sem punheta\nArthur Aguiar: 2 horas sem trai…',)"
"('gente mesmo que o arthur aguiar traia a mayra ao vivo, ela não vai terminar com ele 😂',)"
"('RT @tiiagoaalves: opinião impopular: não quero q arthur aguiar saia tão cedo pois o potencial de chifre ali dentro é entretenimento sim',)"
"('RT @whomath: o luciano falando sobre monogamia e poligamia com o arthur aguiar lá dentro do bbb 😭',)"
"('RT @choquei: 🚨O camarote Arthur Aguiar está confirmado no #BBB22 https://t.co/PfiJ84WfpL',)"
"('@bbb O Vinicius já fez um eclipse de carisma nos 7 primeiros hein...incluindo o Arthur Aguiar',)"
"('RT @bahbedle: a #Malhação já começa com o Gael mandando o Arthur Aguiar parar de ser galinha 😭😭\n#MalhaçãoSonhos',)"
"('RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional',)"
"('@updatechartuc #bbb2022 #BBB22 #MoonKnight #ScreamMovie juliette Arthur Aguiar mayra eliezer Selena Gomes Sarah… https://t.co/nujsZSq8Lo',)"
"('Pq colocaram arthur aguiar antes? Ele foi o unico camarote a sair rapido assim, algo aconteceu.',)"
"('RT @sitetvpop: O primeiro participante confirmado do Camarote do #BBB22 é o Arthur Aguiar. 32 anos, ator, cantor e traiu a mulher 16 vezes.…',)"
"('RT @v1oletscohen: rakin e ljoga gerariam muito mais entretenimento que arthur aguiar e o cara que pisca o olho #falomesmo',)"
