Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias
"RT @oficialmussi: Click de agora com eles @TiagoAbravanel, @jadepicon, @Aguiarthur, @linndaquebrada, e @PedroScooby. 📸💚 https://t.co/H4NlaA…","{'💚', '📸'}",'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'oficialmussi - 1', 'click - 1', 'de - 1', 'agora - 1', 'com - 1', 'eles - 1', 'tiagoabravanel - 1', 'jadepicon - 1', 'aguiarthur - 1', 'linndaquebrada - 1', 'e - 1', 'pedroscooby - 1', 'https - 1']"
"@Aguiarthur @eternoabrahao Amooor ele demais 🥰❤
adm me seguir anjo pfvr",{'🥰'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur - 1', 'eternoabrahao - 1', 'amooor - 1', 'ele - 1', 'demais - 1', 'adm - 1', 'me - 1', 'seguir - 1', 'anjo - 1', 'pfvr - 1']"
RT @tracklist: O Arthur Aguiar observando a conversa do grupo pipoca 🕵🏻‍♂️🗣 #BBB22 https://t.co/A01gVZyS2s,{'♂️'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'tracklist - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'observando - 1', 'a - 1', 'conversa - 1', 'do - 1', 'grupo - 1', 'pipoca - 1', 'https - 1']"
"RT @debcomentss: não vou sofrer sozinha 🤧

sdd reizinho @Aguiarthur https://t.co/REWpNyCX1I",{'🤧'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'debcomentss - 1', 'não - 1', 'vou - 1', 'sofrer - 1', 'sozinha - 1', 'sdd - 1', 'reizinho - 1', 'aguiarthur - 1', 'https - 1']"
@imediatix @oficialmussi @TiagoAbravanel @jadepicon @Aguiarthur @linndaquebrada @PedroScooby Avisa que lá dentro ni… https://t.co/74uWbtjOpQ,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['imediatix - 1', 'oficialmussi - 1', 'tiagoabravanel - 1', 'jadepicon - 1', 'aguiarthur - 1', 'linndaquebrada - 1', 'pedroscooby - 1', 'avisa - 1', 'que - 1', 'lá - 1', 'dentro - 1', 'https - 1']"
"RT @Guilher05459881: O Arthur Aguiar ouvindo as conversas dos pipocas só me lembrou a Sarah no BBB 21 

 #BBB22 #REDEBBB 

Tirei Jade Picon…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'ouvindo - 1', 'as - 1', 'conversas - 1', 'dos - 1', 'pipocas - 1', 'só - 1', 'me - 1', 'lembrou - 1', 'a - 1', 'sarah - 1', 'no - 1', 'bbb - 1', 'redebbb - 1', 'tirei - 1', 'jade - 1']"
"RT @YgorFremo: Arthur Aguiar trazendo de volta o gênero stealth

#BBB22 https://t.co/1CaPJtRJzg",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'ygorfremo - 1', 'arthur - 1', 'aguiar - 1', 'trazendo - 1', 'de - 1', 'volta - 1', 'o - 1', 'gênero - 1', 'stealth - 1', 'https - 1']"
@kalimannvivi @Aguiarthur 🤍,{'🤍'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['kalimannvivi - 1', 'aguiarthur - 1']"
RT @tracklist: O Arthur Aguiar observando a conversa do grupo pipoca 🕵🏻‍♂️🗣 #BBB22 https://t.co/A01gVZyS2s,{'♂️'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'tracklist - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'observando - 1', 'a - 1', 'conversa - 1', 'do - 1', 'grupo - 1', 'pipoca - 1', 'https - 1']"
@oficialmussi @TiagoAbravanel @jadepicon @Aguiarthur @linndaquebrada @PedroScooby ME SEGUE ADM,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['oficialmussi - 1', 'tiagoabravanel - 1', 'jadepicon - 1', 'aguiarthur - 1', 'linndaquebrada - 1', 'pedroscooby - 1', 'me - 1', 'segue - 1', 'adm - 1']"
