Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Phrase,Words,Frequency
RT @sunbridgerton: Pensar que em Rebelde Arthur Aguiar e Carla Diaz faziam irmãos e agora os dois passaram pelo BBB https://t.co/RbJKVBph0B,set(),'neutro,1009,[0.21],[0.04],[0.17],[0.33],[0.0],[0.15],[0.0],"['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']","['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']",arthur,992
RT @sunbridgerton: Pensar que em Rebelde Arthur Aguiar e Carla Diaz faziam irmãos e agora os dois passaram pelo BBB https://t.co/RbJKVBph0B,set(),'neutro,1009,[0.21],[0.04],[0.17],[0.33],[0.0],[0.15],[0.0],"['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']","['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']",aguiar,959
RT @mateusalp: teoria: arthur aguiar entrou no bbb pq sabia que todo mundo iria passar a achar a mayra cardi insuportável e passar um panin…,set(),'neutro,1009,[0.01],[0.0],[0.01],[0.94],[0.0],[0.02],[0.0],"['passar', 'a', 'rt', 'teoria', 'arthur', 'aguiar', 'entrou', 'no', 'bbb', 'pq', 'sabia', 'que', 'todo', 'mundo', 'iria', 'achar', 'mayra', 'cardi', 'insuportável', 'e', 'um', 'panin']","['passar', 'a', 'rt', 'teoria', 'arthur', 'aguiar', 'entrou', 'no', 'bbb', 'pq', 'sabia', 'que', 'todo', 'mundo', 'iria', 'achar', 'mayra', 'cardi', 'insuportável', 'e', 'um', 'panin']",bbb,856
RT @sunbridgerton: Pensar que em Rebelde Arthur Aguiar e Carla Diaz faziam irmãos e agora os dois passaram pelo BBB https://t.co/RbJKVBph0B,set(),'neutro,1009,[0.21],[0.04],[0.17],[0.33],[0.0],[0.15],[0.0],"['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']","['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']",rt,583
RT @sunbridgerton: Pensar que em Rebelde Arthur Aguiar e Carla Diaz faziam irmãos e agora os dois passaram pelo BBB https://t.co/RbJKVBph0B,set(),'neutro,1009,[0.21],[0.04],[0.17],[0.33],[0.0],[0.15],[0.0],"['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']","['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']",que,532
RT @quirino_hugo: O primeiro grande plot twist desse bbb e do ano é perceber que quem estava num relacionamento abusivo era o Arthur Aguiar…,set(),'alegria',1009,[0.5],[0.01],[0.19],[0.11],[0.0],[0.13],[0.0],"['o', 'rt', 'primeiro', 'grande', 'plot', 'twist', 'desse', 'bbb', 'e', 'do', 'ano', 'é', 'perceber', 'que', 'quem', 'estava', 'num', 'relacionamento', 'abusivo', 'era', 'arthur', 'aguiar']","['o', 'rt', 'primeiro', 'grande', 'plot', 'twist', 'desse', 'bbb', 'e', 'do', 'ano', 'é', 'perceber', 'que', 'quem', 'estava', 'num', 'relacionamento', 'abusivo', 'era', 'arthur', 'aguiar']",e,470
RT @mateusalp: teoria: arthur aguiar entrou no bbb pq sabia que todo mundo iria passar a achar a mayra cardi insuportável e passar um panin…,set(),'neutro,1009,[0.01],[0.0],[0.01],[0.94],[0.0],[0.02],[0.0],"['passar', 'a', 'rt', 'teoria', 'arthur', 'aguiar', 'entrou', 'no', 'bbb', 'pq', 'sabia', 'que', 'todo', 'mundo', 'iria', 'achar', 'mayra', 'cardi', 'insuportável', 'e', 'um', 'panin']","['passar', 'a', 'rt', 'teoria', 'arthur', 'aguiar', 'entrou', 'no', 'bbb', 'pq', 'sabia', 'que', 'todo', 'mundo', 'iria', 'achar', 'mayra', 'cardi', 'insuportável', 'e', 'um', 'panin']",o,444
RT @sunbridgerton: Pensar que em Rebelde Arthur Aguiar e Carla Diaz faziam irmãos e agora os dois passaram pelo BBB https://t.co/RbJKVBph0B,set(),'neutro,1009,[0.21],[0.04],[0.17],[0.33],[0.0],[0.15],[0.0],"['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']","['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']",em,372
Agora eu entendi o que o Arthur Aguiar foi fazer no BBB... Descansar da mulher e comer em paz!,set(),'alegria',1009,[0.29],[0.01],[0.22],[0.26],[0.0],[0.15],[0.0],"['o', 'agora', 'eu', 'entendi', 'que', 'arthur', 'aguiar', 'foi', 'fazer', 'no', 'bbb', 'descansar', 'da', 'mulher', 'e', 'comer', 'em', 'paz']","['o', 'agora', 'eu', 'entendi', 'que', 'arthur', 'aguiar', 'foi', 'fazer', 'no', 'bbb', 'descansar', 'da', 'mulher', 'e', 'comer', 'em', 'paz']",pelo,355
RT @mateusalp: teoria: arthur aguiar entrou no bbb pq sabia que todo mundo iria passar a achar a mayra cardi insuportável e passar um panin…,set(),'neutro,1009,[0.01],[0.0],[0.01],[0.94],[0.0],[0.02],[0.0],"['passar', 'a', 'rt', 'teoria', 'arthur', 'aguiar', 'entrou', 'no', 'bbb', 'pq', 'sabia', 'que', 'todo', 'mundo', 'iria', 'achar', 'mayra', 'cardi', 'insuportável', 'e', 'um', 'panin']","['passar', 'a', 'rt', 'teoria', 'arthur', 'aguiar', 'entrou', 'no', 'bbb', 'pq', 'sabia', 'que', 'todo', 'mundo', 'iria', 'achar', 'mayra', 'cardi', 'insuportável', 'e', 'um', 'panin']",agora,339
Só eu que acho o Arthur Aguiar o mais sem sal da casa? #bbb #bbb22,set(),'alegria',1009,[0.29],[0.01],[0.22],[0.26],[0.0],[0.15],[0.0],"['o', 'só', 'eu', 'que', 'acho', 'arthur', 'aguiar', 'mais', 'sem', 'sal', 'da', 'casa']","['o', 'só', 'eu', 'que', 'acho', 'arthur', 'aguiar', 'mais', 'sem', 'sal', 'da', 'casa']",rebelde,336
RT @sunbridgerton: Pensar que em Rebelde Arthur Aguiar e Carla Diaz faziam irmãos e agora os dois passaram pelo BBB https://t.co/RbJKVBph0B,set(),'neutro,1009,[0.21],[0.04],[0.17],[0.33],[0.0],[0.15],[0.0],"['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']","['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']",os,333
RT @sunbridgerton: Pensar que em Rebelde Arthur Aguiar e Carla Diaz faziam irmãos e agora os dois passaram pelo BBB https://t.co/RbJKVBph0B,set(),'neutro,1009,[0.21],[0.04],[0.17],[0.33],[0.0],[0.15],[0.0],"['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']","['e', 'rt', 'pensar', 'que', 'em', 'rebelde', 'arthur', 'aguiar', 'carla', 'diaz', 'faziam', 'irmãos', 'agora', 'os', 'dois', 'passaram', 'pelo', 'bbb']",carla,318
RT @mateusalp: teoria: arthur aguiar entrou no bbb pq sabia que todo mundo iria passar a achar a mayra cardi insuportável e passar um panin…,set(),'neutro,1009,[0.01],[0.0],[0.01],[0.94],[0.0],[0.02],[0.0],"['passar', 'a', 'rt', 'teoria', 'arthur', 'aguiar', 'entrou', 'no', 'bbb', 'pq', 'sabia', 'que', 'todo', 'mundo', 'iria', 'achar', 'mayra', 'cardi', 'insuportável', 'e', 'um', 'panin']","['passar', 'a', 'rt', 'teoria', 'arthur', 'aguiar', 'entrou', 'no', 'bbb', 'pq', 'sabia', 'que', 'todo', 'mundo', 'iria', 'achar', 'mayra', 'cardi', 'insuportável', 'e', 'um', 'panin']",diaz,318
"RT @bbb: Arthur Aguiar: ""(...) Ele vai longe no jogo, mas não deixa de ter um veneninho ali""

Bárbara: ""Ah, ela é fofinha""  

#BBB22 #RedeB…",set(),'alegria',1009,[0.29],[0.01],[0.22],[0.26],[0.0],[0.15],[0.0],"['rt', 'arthur', 'aguiar', 'ele', 'vai', 'longe', 'no', 'jogo', 'mas', 'não', 'deixa', 'de', 'ter', 'um', 'veneninho', 'ali', 'bárbara', 'ah', 'ela', 'é', 'fofinha']","['rt', 'arthur', 'aguiar', 'ele', 'vai', 'longe', 'no', 'jogo', 'mas', 'não', 'deixa', 'de', 'ter', 'um', 'veneninho', 'ali', 'bárbara', 'ah', 'ela', 'é', 'fofinha']",dois,318
RT @mateusalp: teoria: arthur aguiar entrou no bbb pq sabia que todo mundo iria passar a achar a mayra cardi insuportável e passar um panin…,set(),'neutro,1009,[0.01],[0.0],[0.01],[0.94],[0.0],[0.02],[0.0],"['passar', 'a', 'rt', 'teoria', 'arthur', 'aguiar', 'entrou', 'no', 'bbb', 'pq', 'sabia', 'que', 'todo', 'mundo', 'iria', 'achar', 'mayra', 'cardi', 'insuportável', 'e', 'um', 'panin']","['passar', 'a', 'rt', 'teoria', 'arthur', 'aguiar', 'entrou', 'no', 'bbb', 'pq', 'sabia', 'que', 'todo', 'mundo', 'iria', 'achar', 'mayra', 'cardi', 'insuportável', 'e', 'um', 'panin']",passaram,318
