Tweet,Translate,Emoji,Sentiment
"RT @_marifernand: o destino é uma coisa muito maravilhosa 
a cena final da malhação ser sobre o duca traindo a bianca com a nath, e a chama…","RT @_marifernand: o destino é uma coisa muito maravilhosa 
a cena final da malhação ser sobre o duca traindo a bianca com a nath, e a chama…",set(),0.025
Pedro Scooby e Arthur Aguiar = dupla Chernobyl 🤣,Pedro Scooby e Arthur Aguiar = dupla Chernobyl 🤣,{'🤣'},0.0
"Um detalhe importante: só o video do arthur aguiar ate agr n teve a tela de fundo e tal, ele tava num quarto, diferente de todos","Um detalhe importante: só o video do arthur aguiar ate agr n teve a tela de fundo e tal, ele tava num quarto, diferente de todos",set(),0.0
"RT @Carloszn11: @chicobarney Provas de resistência personalizadas:

Luciano: 30 minutos sem punheta
Arthur Aguiar: 2 horas sem trair a mulh…","RT @Carloszn11: @chicobarney Provas de resistência personalizadas:

Luciano: 30 minutos sem punheta
Arthur Aguiar: 2 horas sem trair a mulh…",set(),0.0
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),0.0
@PepitaOfc Arthur Aguiar e Pedro Scooby,@PepitaOfc Arthur Aguiar e Pedro Scooby,set(),0.0
"Pedro Scooby  e Arthur Aguiar já eram cotados, eu quero supresa @boninho https://t.co/H9y8QTPgPL","Pedro Scooby  e Arthur Aguiar já eram cotados, eu quero supresa @boninho https://t.co/H9y8QTPgPL",set(),0.0
Já quero Arthur aguiar fora do BBB kkkkkkk,Já quero Arthur aguiar fora do BBB kkkkkkk,set(),0.0
O que o Arthur Aguiar tá fazendo no bbb pelamordedios,O que o Arthur Aguiar tá fazendo no bbb pelamordedios,set(),0.0
"RT @livrariaemcasa: Nenhuma surpresa, todo mundo já sabia, mas Pedro Scooby, Arthur Aguiar. Que isso? A Fazenda?","RT @livrariaemcasa: Nenhuma surpresa, todo mundo já sabia, mas Pedro Scooby, Arthur Aguiar. Que isso? A Fazenda?",set(),0.0
Por mais hetero padrão Boninho!! 🙏🙏🙏🙏 Pedro Scooby Arthur Aguiar #BBB22,Por mais hetero padrão Boninho!! 🙏🙏🙏🙏 Pedro Scooby Arthur Aguiar #BBB22,{'🙏'},0.0
RT @whomath: o luciano falando sobre monogamia e poligamia com o arthur aguiar lá dentro do bbb 😭,RT @whomath: o luciano falando sobre monogamia e poligamia com o arthur aguiar lá dentro do bbb 😭,{'😭'},0.05
"tomara que o Arthur Aguiar meta muito é chifre na Mayra Cardi no BBB pra ela parar de ser lesa, cansei de ter empatia","tomara que o Arthur Aguiar meta muito é chifre na Mayra Cardi no BBB pra ela parar de ser lesa, cansei de ter empatia",set(),0.0
"Pedro Scooby e Arthur Aguiar confirmados no BBB mas a Luana Piovani e Mayra Cardi que vão servir o entretenimento 
https://t.co/iqhHN7vwKk","Pedro Scooby e Arthur Aguiar confirmados no BBB mas a Luana Piovani e Mayra Cardi que vão servir o entretenimento 
https://t.co/iqhHN7vwKk",set(),0.0
RT @sararahju: Predro Scooby e Arthur Aguiar. os stories da Mayra Cardi e Luana Piovanni serão ser melhores q o programa,RT @sararahju: Predro Scooby e Arthur Aguiar. os stories da Mayra Cardi e Luana Piovanni serão ser melhores q o programa,set(),0.0
meteram o ex da luana pio e arthur aguiar no mesmo reality eu vou me mata,meteram o ex da luana pio e arthur aguiar no mesmo reality eu vou me mata,set(),0.0
RT @katnissong: arthur aguiar estou depositando todas as minhas expectativas de entretenimento em VOCÊ fale de rebelde traia a sua mulher e…,RT @katnissong: arthur aguiar estou depositando todas as minhas expectativas de entretenimento em VOCÊ fale de rebelde traia a sua mulher e…,set(),0.0
"RT @matheuslaneri: A única expectativa para Arthur Aguiar é que ele traia a mulher pela décima sétima vez. Fora isso, não espero mais nada","RT @matheuslaneri: A única expectativa para Arthur Aguiar é que ele traia a mulher pela décima sétima vez. Fora isso, não espero mais nada",set(),0.0
"RT @ausonsin: scooby e arthur aguiar confirmados

imagina a cardi e a piovani aqui fora

reality dobrado
entretenimento a beça 

é sobre is…","RT @ausonsin: scooby e arthur aguiar confirmados

imagina a cardi e a piovani aqui fora

reality dobrado
entretenimento a beça 

é sobre is…",set(),0.0
"Provas de resistência personalizadas:

Luciano: 30 minutos sem punheta
Arthur Aguiar: 2 horas sem trair a mulher de… https://t.co/Ktkc5Or6Hf","Provas de resistência personalizadas:

Luciano: 30 minutos sem punheta
Arthur Aguiar: 2 horas sem trair a mulher de… https://t.co/Ktkc5Or6Hf",set(),0.0
"RT @SeriesBrasil: 🚨 8° PARTICIPANTE CONFIRMADO DO #BBB22:

• Arthur Aguiar (Camarote)
• Cantor e Ator #BigDay https://t.co/DpJ5Mr33qB","RT @SeriesBrasil: 🚨 8° PARTICIPANTE CONFIRMADO DO #BBB22:

• Arthur Aguiar (Camarote)
• Cantor e Ator #BigDay https://t.co/DpJ5Mr33qB",{'🚨'},0.0
RT @twonior: Ansioso pro Arthur Aguiar começar a cantar: eu não sei nem quantas vezes eu te trai https://t.co/D4J9V6GpE9,RT @twonior: Ansioso pro Arthur Aguiar começar a cantar: eu não sei nem quantas vezes eu te trai https://t.co/D4J9V6GpE9,set(),0.0
"O episódio de hj de Malhação terminou com o personagem de Arthur Aguiar sendo acusado de traição. 

Timming é tudo né?","O episódio de hj de Malhação terminou com o personagem de Arthur Aguiar sendo acusado de traição. 

Timming é tudo né?",set(),0.0
RT @katnissong: arthur aguiar estou depositando todas as minhas expectativas de entretenimento em VOCÊ fale de rebelde traia a sua mulher e…,RT @katnissong: arthur aguiar estou depositando todas as minhas expectativas de entretenimento em VOCÊ fale de rebelde traia a sua mulher e…,set(),0.0
