Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias
"RT @smoakesby: eu particularmente não tenho nada contra o arthur aguiar, se a própria corna que é a corna não se incomoda com os chifres eu…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['não - 2', 'se - 2', 'a - 2', 'corna - 2', 'rt - 1', 'smoakesby - 1', 'eu - 1', 'particularmente - 1', 'tenho - 1', 'nada - 1', 'contra - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'própria - 1', 'que - 1', 'é - 1', 'incomoda - 1', 'com - 1', 'os - 1', 'chifres - 1']"
@Aguiarthur adm me segue adm me segue,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['adm - 2', 'me - 2', 'segue - 2', 'aguiarthur - 1']"
"RT @desafetuoso: E o Arthur Aguiar que não moveu um musculo para abraçar a Laís

SIMPLESMENTE O HOMEM MAIS FIEL DA FACE DA TERRA, VICIADO E…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o - 2', 'da - 2', 'rt - 1', 'desafetuoso - 1', 'e - 1', 'arthur - 1', 'aguiar - 1', 'que - 1', 'não - 1', 'moveu - 1', 'um - 1', 'musculo - 1', 'para - 1', 'abraçar - 1', 'a - 1', 'laís - 1', 'simplesmente - 1', 'homem - 1', 'mais - 1', 'fiel - 1', 'face - 1', 'terra - 1', 'viciado - 1']"
eles culpam o arthur aguiar por amar demais 🤞🏻 o último romântico do brasil tem tanto amor que precisa dividir em 16 mulheres,{'🤞'},'neutro',[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['o - 2', 'eles - 1', 'culpam - 1', 'arthur - 1', 'aguiar - 1', 'por - 1', 'amar - 1', 'demais - 1', 'último - 1', 'romântico - 1', 'do - 1', 'brasil - 1', 'tem - 1', 'tanto - 1', 'amor - 1', 'que - 1', 'precisa - 1', 'dividir - 1', 'em - 1', 'mulheres - 1']"
@oficialmussi @TiagoAbravanel @jadepicon @Aguiarthur @linndaquebrada @PedroScooby Protagonista do BBB22 😘,{'😘'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['oficialmussi - 1', 'tiagoabravanel - 1', 'jadepicon - 1', 'aguiarthur - 1', 'linndaquebrada - 1', 'pedroscooby - 1', 'protagonista - 1', 'do - 1']"
"RT @YgorFremo: Arthur Aguiar trazendo de volta o gênero stealth

#BBB22 https://t.co/1CaPJtRJzg",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'ygorfremo - 1', 'arthur - 1', 'aguiar - 1', 'trazendo - 1', 'de - 1', 'volta - 1', 'o - 1', 'gênero - 1', 'stealth - 1', 'https - 1']"
"RT @eltonoliverr: assim q a vodka dominasse meu cérebro, eu perguntaria a jade se ela traiu joão guilherme mesmo com a besta do gui araújo,…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a - 3', 'rt - 1', 'eltonoliverr - 1', 'assim - 1', 'q - 1', 'vodka - 1', 'dominasse - 1', 'meu - 1', 'cérebro - 1', 'eu - 1', 'perguntaria - 1', 'jade - 1', 'se - 1', 'ela - 1', 'traiu - 1', 'joão - 1', 'guilherme - 1', 'mesmo - 1', 'com - 1', 'besta - 1', 'do - 1', 'gui - 1', 'araújo - 1']"
"RT @Guilher05459881: O Arthur Aguiar ouvindo as conversas dos pipocas só me lembrou a Sarah no BBB 21 

 #BBB22 #REDEBBB 

Tirei Jade Picon…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'ouvindo - 1', 'as - 1', 'conversas - 1', 'dos - 1', 'pipocas - 1', 'só - 1', 'me - 1', 'lembrou - 1', 'a - 1', 'sarah - 1', 'no - 1', 'bbb - 1', 'redebbb - 1', 'tirei - 1', 'jade - 1']"
RT @tracklist: O Arthur Aguiar observando a conversa do grupo pipoca 🕵🏻‍♂️🗣 #BBB22 https://t.co/A01gVZyS2s,{'♂️'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'tracklist - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'observando - 1', 'a - 1', 'conversa - 1', 'do - 1', 'grupo - 1', 'pipoca - 1', 'https - 1']"
RT @tracklist: O Arthur Aguiar observando a conversa do grupo pipoca 🕵🏻‍♂️🗣 #BBB22 https://t.co/A01gVZyS2s,{'♂️'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'tracklist - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'observando - 1', 'a - 1', 'conversa - 1', 'do - 1', 'grupo - 1', 'pipoca - 1', 'https - 1']"
