Channel,Titles
sisi espindola,O que ninguém te contou sobre a troca justa! - Por Sisi Espindola
sisi espindola,Uma breve apresentação do meu trabalho. - Apresentação Sisi Espindola
sisi espindola,Mãe na Constelação Familiar - Exercício de Ressignificação - Por Sisi Espindola
sisi espindola,Como o analista corporal se posicionar quando cliente discordar da Análise e devolutiva.
sisi espindola,Constelação Sistêmica - com Rita Takara & Simone Espindola
sisi espindola,[INAUGURAÇÃO] INSTITUTO LIVE - Clínica Sistêmica para Vida
sisi espindola,VOCÊ NÃO É QUEM PENSA QUE É!
sisi espindola,INSTITUTO LIVE - Clínica Sistêmica para Vida
