Tweet,Translate,Emoji,Sentiment
RT @filhodogil: maira cardi e arthur aguiar são como simone de beauvoir e sarte,RT @filhodogil: maira cardi e arthur aguiar são como simone de beauvoir e sarte,set(),0.0
@MarceloFreita_4 @bchartsnet Vc conhece esse abestado do edit mas não o Arthur Aguiar?,@MarceloFreita_4 @bchartsnet Vc conhece esse abestado do edit mas não o Arthur Aguiar?,set(),0.0
"RT @oestagiario: O MAIOR DE TODOS!

VENHA, ARTHUR AGUIAR!

INSACIÁVEL POR TRAIÇÃO!

SE JUNTE A LUCIANO PUNHETINHA!

ENTRETENIMENTO GARANTID…","RT @oestagiario: O MAIOR DE TODOS!

VENHA, ARTHUR AGUIAR!

INSACIÁVEL POR TRAIÇÃO!

SE JUNTE A LUCIANO PUNHETINHA!

ENTRETENIMENTO GARANTID…",set(),0.1220703125
Arthur Aguiar eu pegava fácil 😛,Arthur Aguiar eu pegava fácil 😛,{'😛'},0.0
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),0.0
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),0.0
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),0.0
"@chavesalin3 Arthur Aguiar traindo Mayara Cardi em rede nacional… gente ….
Este bbb vai ser icônico!","@chavesalin3 Arthur Aguiar traindo Mayara Cardi em rede nacional… gente ….
Este bbb vai ser icônico!",set(),0.0
@leandefreitas Arthur Aguiar lá 🗣,@leandefreitas Arthur Aguiar lá 🗣,set(),0.0
RT @rennanleta: Imagina uma conversa entre Arthur Aguiar e Pedro Scooby sobre paternidade,RT @rennanleta: Imagina uma conversa entre Arthur Aguiar e Pedro Scooby sobre paternidade,set(),0.0
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),0.0
