Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Phrase,Words,Frequency
@otavi0XI Os ADMs estão perdidinhos. Morrendo de medo de serem cancelados por puxarem um #foraDG. Que é o mais coer… https://t.co/KOXJvFrKLh,set(),'neutro',778,[0.21],[0.05],[0.62],[0.0],[0.11],[0.0],[0.01],"['de', 'os', 'adms', 'estão', 'perdidinhos', 'morrendo', 'medo', 'serem', 'cancelados', 'por', 'puxarem', 'um', 'que', 'é', 'o', 'mais', 'coer']","['de', 'os', 'adms', 'estão', 'perdidinhos', 'morrendo', 'medo', 'serem', 'cancelados', 'por', 'puxarem', 'um', 'que', 'é', 'o', 'mais', 'coer']",paredão,655
"#foraDG SIM , se ele n ficasse com medo de votar aberto em Maria ele não estaria nesse paredão!! #FicaNaiara #FicaArthur  #BBB22",set(),'neutro',778,[0.26],[0.06],[0.52],[0.0],[0.14],[0.0],[0.01],"['ele', 'sim', 'se', 'n', 'ficasse', 'com', 'medo', 'de', 'votar', 'aberto', 'em', 'maria', 'não', 'estaria', 'nesse', 'paredão']","['ele', 'sim', 'se', 'n', 'ficasse', 'com', 'medo', 'de', 'votar', 'aberto', 'em', 'maria', 'não', 'estaria', 'nesse', 'paredão']",e,337
"@PaolaDeboche #foraDG #ForaDouglas 
Já votei umas 89x haaaa amo um paredão!!!",set(),'alegria',778,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['já', 'votei', 'umas', 'haaaa', 'amo', 'um', 'paredão']","['já', 'votei', 'umas', 'haaaa', 'amo', 'um', 'paredão']",o,290
"@vaidesmaiar Tem a semana inteira pra bolar estratégia, mas não quer falar sobre voto e nem combinar voto, aí cai n… https://t.co/GCcx5P9WLy",set(),'neutro',778,[0.13],[0.03],[0.76],[0.0],[0.07],[0.0],[0.0],"['voto', 'tem', 'a', 'semana', 'inteira', 'pra', 'bolar', 'estratégia', 'mas', 'não', 'quer', 'falar', 'sobre', 'e', 'nem', 'combinar', 'aí', 'cai', 'n']","['voto', 'tem', 'a', 'semana', 'inteira', 'pra', 'bolar', 'estratégia', 'mas', 'não', 'quer', 'falar', 'sobre', 'e', 'nem', 'combinar', 'aí', 'cai', 'n']",que,278
"RT @ferlaaaaa: Cara de quem achou que estava de ""férias"" na Disney, e não curtiu ser colocado direto no paredão kkkkkkk

#BBB22  #ForaDougl…",set(),'alegria',778,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['de', 'rt', 'cara', 'quem', 'achou', 'que', 'estava', 'férias', 'na', 'disney', 'e', 'não', 'curtiu', 'ser', 'colocado', 'direto', 'no', 'paredão', 'kkkkkkk']","['de', 'rt', 'cara', 'quem', 'achou', 'que', 'estava', 'férias', 'na', 'disney', 'e', 'não', 'curtiu', 'ser', 'colocado', 'direto', 'no', 'paredão', 'kkkkkkk']",rt,230
"Tem a semana inteira pra bolar estratégia, mas não quer falar sobre voto e nem combinar voto, aí cai no paredão e f… https://t.co/ZaVjVtFFU0",set(),'neutro',778,[0.13],[0.03],[0.76],[0.0],[0.07],[0.0],[0.0],"['voto', 'e', 'tem', 'a', 'semana', 'inteira', 'pra', 'bolar', 'estratégia', 'mas', 'não', 'quer', 'falar', 'sobre', 'nem', 'combinar', 'aí', 'cai', 'no', 'paredão', 'f']","['voto', 'e', 'tem', 'a', 'semana', 'inteira', 'pra', 'bolar', 'estratégia', 'mas', 'não', 'quer', 'falar', 'sobre', 'nem', 'combinar', 'aí', 'cai', 'no', 'paredão', 'f']",no,222
"Nao queria q o douglas saisse. Porém, ele e o melhor amigo dele disperdisaram voto. Se tivese se comprometido a jog… https://t.co/ms6lEbmvOJ",set(),'neutro',778,[0.17],[0.04],[0.68],[0.0],[0.09],[0.0],[0.0],"['o', 'se', 'nao', 'queria', 'q', 'douglas', 'saisse', 'porém', 'ele', 'e', 'melhor', 'amigo', 'dele', 'disperdisaram', 'voto', 'tivese', 'comprometido', 'a', 'jog']","['o', 'se', 'nao', 'queria', 'q', 'douglas', 'saisse', 'porém', 'ele', 'e', 'melhor', 'amigo', 'dele', 'disperdisaram', 'voto', 'tivese', 'comprometido', 'a', 'jog']",de,204
"RT @GatoLokoDoBBB: Se o DG sair, é a melhor coisa nesse cenário depois desse paredão. O cara não querendo se comprometer preferiu votar no…",set(),'alegria',778,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['se', 'o', 'rt', 'dg', 'sair', 'é', 'a', 'melhor', 'coisa', 'nesse', 'cenário', 'depois', 'desse', 'paredão', 'cara', 'não', 'querendo', 'comprometer', 'preferiu', 'votar', 'no']","['se', 'o', 'rt', 'dg', 'sair', 'é', 'a', 'melhor', 'coisa', 'nesse', 'cenário', 'depois', 'desse', 'paredão', 'cara', 'não', 'querendo', 'comprometer', 'preferiu', 'votar', 'no']",não,174
"Se o DG sair, é a melhor coisa nesse cenário depois desse paredão. O cara não querendo se comprometer preferiu vota… https://t.co/jMRoMj4Gfk",set(),'alegria',778,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['se', 'o', 'dg', 'sair', 'é', 'a', 'melhor', 'coisa', 'nesse', 'cenário', 'depois', 'desse', 'paredão', 'cara', 'não', 'querendo', 'comprometer', 'preferiu', 'vota']","['se', 'o', 'dg', 'sair', 'é', 'a', 'melhor', 'coisa', 'nesse', 'cenário', 'depois', 'desse', 'paredão', 'cara', 'não', 'querendo', 'comprometer', 'preferiu', 'vota']",dg,159
"RT @BarbaraNapolit: Eu só preciso dzr uma coisa :
#FORADISNEY
#FORADG
VAMOS FZR SUCO DE ACEROLA , NESTE PAREDÃO EU VOTO C GOSTO.",set(),'alegria',778,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['eu', 'rt', 'só', 'preciso', 'dzr', 'uma', 'coisa', 'vamos', 'fzr', 'suco', 'de', 'acerola', 'neste', 'paredão', 'voto', 'c', 'gosto']","['eu', 'rt', 'só', 'preciso', 'dzr', 'uma', 'coisa', 'vamos', 'fzr', 'suco', 'de', 'acerola', 'neste', 'paredão', 'voto', 'c', 'gosto']",arthur,153
