Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Phrase,Words,Frequency
"RT @tracklist: 15) Maria falou sobre não gostar de dançar virada para homem casado. Arthur Aguiar responde:

Arthur: “Mas a gente é brother…",set(),'neutro',97,[0.17],[0.01],[0.74],[0.0],[0.08],[0.0],[0.0],"['arthur', 'rt', 'maria', 'falou', 'sobre', 'não', 'gostar', 'de', 'dançar', 'virada', 'para', 'homem', 'casado', 'aguiar', 'responde', 'mas', 'a', 'gente', 'é', 'brother']","['arthur', 'rt', 'maria', 'falou', 'sobre', 'não', 'gostar', 'de', 'dançar', 'virada', 'para', 'homem', 'casado', 'aguiar', 'responde', 'mas', 'a', 'gente', 'é', 'brother']",edai,3
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",botou,3
@Aguiarthur oh gente 🤏🏻🤏🏻🤏🏻🤏🏻,{'🤏'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['oh', 'gente']","['oh', 'gente']",gaia,3
"RT @ZAMENZA: ""Pq só homem pode tirar a camisa?"" 
""Mulher também pode."" (Arthur Aguiar)

Fiel e feminista. #BBB22 https://t.co/kS71Lruano",set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['pode', 'rt', 'pq', 'só', 'homem', 'tirar', 'a', 'camisa', 'mulher', 'também', 'arthur', 'aguiar', 'fiel', 'e', 'feminista']","['pode', 'rt', 'pq', 'só', 'homem', 'tirar', 'a', 'camisa', 'mulher', 'também', 'arthur', 'aguiar', 'fiel', 'e', 'feminista']",quem,3
RT @lukedoamor: O Arthur Aguiar na primeira oportunidade dentro da casa: https://t.co/5e8RlLDRO5,set(),'neutro',97,[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']","['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']",achar,3
RT @lukedoamor: O Arthur Aguiar na primeira oportunidade dentro da casa: https://t.co/5e8RlLDRO5,set(),'neutro',97,[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']","['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']",ruim,3
@Aguiarthur ADM CADÊ O FOLLOW DO DIA?????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['adm', 'cadê', 'o', 'follow', 'do', 'dia']","['adm', 'cadê', 'o', 'follow', 'do', 'dia']",bom,3
"RT @crisayonara: arthur aguiar defendendo as mulheres dizendo que se homem tira a blusa nas festas, a mulher pode também! ❤️ #bbb22 https:/…",{'❤️'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'rt', 'arthur', 'aguiar', 'defendendo', 'as', 'mulheres', 'dizendo', 'que', 'se', 'homem', 'tira', 'blusa', 'nas', 'festas', 'mulher', 'pode', 'também', 'https']","['a', 'rt', 'arthur', 'aguiar', 'defendendo', 'as', 'mulheres', 'dizendo', 'que', 'se', 'homem', 'tira', 'blusa', 'nas', 'festas', 'mulher', 'pode', 'também', 'https']",está,3
"RT @jhonyffc: Um homem fiel, feminista, vítima da sociedade e que respeita e luta pela liberdade própria das mulheres. Se ser fã do Arthur…",set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['e', 'rt', 'um', 'homem', 'fiel', 'feminista', 'vítima', 'da', 'sociedade', 'que', 'respeita', 'luta', 'pela', 'liberdade', 'própria', 'das', 'mulheres', 'se', 'ser', 'fã', 'do', 'arthur']","['e', 'rt', 'um', 'homem', 'fiel', 'feminista', 'vítima', 'da', 'sociedade', 'que', 'respeita', 'luta', 'pela', 'liberdade', 'própria', 'das', 'mulheres', 'se', 'ser', 'fã', 'do', 'arthur']",pro,3
pq o arthur aguiar quer ficar com a esposa dele? ele podia ta comendo o brasil todo sem ser julgado kkkkkkkkkk,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o', 'pq', 'arthur', 'aguiar', 'quer', 'ficar', 'com', 'a', 'esposa', 'dele', 'ele', 'podia', 'ta', 'comendo', 'brasil', 'todo', 'sem', 'ser', 'julgado', 'kkkkkkkkkk']","['o', 'pq', 'arthur', 'aguiar', 'quer', 'ficar', 'com', 'a', 'esposa', 'dele', 'ele', 'podia', 'ta', 'comendo', 'brasil', 'todo', 'sem', 'ser', 'julgado', 'kkkkkkkkkk']",dia,3
@Aguiarthur Esse bico de peito o chupar,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['esse', 'bico', 'de', 'peito', 'o', 'chupar']","['esse', 'bico', 'de', 'peito', 'o', 'chupar']",uma,3
RT @cacadillac: n tenho absolutamente nenhum motivo para sentir isto porém tenho um carinho por arthur aguiar,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['tenho', 'rt', 'n', 'absolutamente', 'nenhum', 'motivo', 'para', 'sentir', 'isto', 'porém', 'um', 'carinho', 'por', 'arthur', 'aguiar']","['tenho', 'rt', 'n', 'absolutamente', 'nenhum', 'motivo', 'para', 'sentir', 'isto', 'porém', 'um', 'carinho', 'por', 'arthur', 'aguiar']",também,3
RT @lukedoamor: O Arthur Aguiar na primeira oportunidade dentro da casa: https://t.co/5e8RlLDRO5,set(),'neutro',97,[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']","['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']",fofura,2
