Tweet,Translate,Emoji,Sentiment
"RT @bbb: Arthur Aguiar, do grupo Camarote, é ator e cantor, diz que é muito transparente e que, das provas de resistência, só vai sair carr…","RT @bbb: Arthur Aguiar, do grupo Camarote, é ator e cantor, diz que é muito transparente e que, das provas de resistência, só vai sair carr…",set(),0.0
"@mugzvick pior q o arthur aguiar eu só conheco pq ele trai a esposa 
não faço a minima ideia de qm eh","@mugzvick pior q o arthur aguiar eu só conheco pq ele trai a esposa 
não faço a minima ideia de qm eh",set(),0.0
Pedro Scooby só não é manos odiado que Arthur aguiar,Pedro Scooby só não é manos odiado que Arthur aguiar,set(),0.0
Pedro Scooby e Arthur Aguiar já tem meu ranço,Pedro Scooby e Arthur Aguiar já tem meu ranço,set(),0.0
arthur aguiar e pedro scooby       virou a fazenda,arthur aguiar e pedro scooby       virou a fazenda,set(),0.0
"Amei q o Arthur Aguiar tá no bbb 

Sem um macho hetero branco babaca pra odiar fica sem entretenimento","Amei q o Arthur Aguiar tá no bbb 

Sem um macho hetero branco babaca pra odiar fica sem entretenimento",set(),0.0
"anunciam o Arthur Aguiar no meio da Malhação, logo no capítulo que ele é acusado de trair a namorada #bbb22 https://t.co/HGDHU8oGPg","anunciam o Arthur Aguiar no meio da Malhação, logo no capítulo que ele é acusado de trair a namorada #bbb22 https://t.co/HGDHU8oGPg",set(),0.0
"RT @euguedescrf: o episódio de malhação terminou com o arthur aguiar ""traindo"" a namorada, logo hoje KKKKKKKKKKKKKKKKK","RT @euguedescrf: o episódio de malhação terminou com o arthur aguiar ""traindo"" a namorada, logo hoje KKKKKKKKKKKKKKKKK",set(),0.05
o trabalho que vai dar pro arthur aguiar todo dia sair da casa do bbb pra ir aparecer em malhação,o trabalho que vai dar pro arthur aguiar todo dia sair da casa do bbb pra ir aparecer em malhação,set(),0.0
oq ele e arthur aguiar vao trair eh BRINCADEIRA https://t.co/5vbUoo6kPL,oq ele e arthur aguiar vao trair eh BRINCADEIRA https://t.co/5vbUoo6kPL,set(),0.0
RT @comments_rapha: @InesBrasilTV Esperávamos: inês brasil                                           Recebemos: arthur aguiar https://t.co/…,RT @comments_rapha: @InesBrasilTV Esperávamos: inês brasil                                           Recebemos: arthur aguiar https://t.co/…,set(),0.0
"RT @LksTorres81: @sfpepior Provas de resistência personalizadas:

Luciano: 30 minutos sem punheta
Arthur Aguiar: 2 horas sem trair a mulher…","RT @LksTorres81: @sfpepior Provas de resistência personalizadas:

Luciano: 30 minutos sem punheta
Arthur Aguiar: 2 horas sem trair a mulher…",set(),0.0
"Tá cedo pra eu abrir um portal ""mundinho arthur Aguiar"" 🥺🥺 ele é tão 🤏🏻🤏🏻🤏🏻","Tá cedo pra eu abrir um portal ""mundinho arthur Aguiar"" 🥺🥺 ele é tão 🤏🏻🤏🏻🤏🏻","{'🥺', '🤏'}",0.0
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),0.0
"Arthur Aguiar e Pedro Scooby o Boninho esse ano garantiu, viu","Arthur Aguiar e Pedro Scooby o Boninho esse ano garantiu, viu",set(),0.0
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),0.0
"Pedro scobby, arthur aguiar = bomba tóxica","Pedro scobby, arthur aguiar = bomba tóxica",set(),0.0
"To na duvida pra quem vou torcer , Arthur aguiar ou pedro scooby","To na duvida pra quem vou torcer , Arthur aguiar ou pedro scooby",set(),0.0
"Arthur Aguiar e Pedro Scooby confirmados, e choca o total de zero pessoas

#bbb2022","Arthur Aguiar e Pedro Scooby confirmados, e choca o total de zero pessoas

#bbb2022",set(),0.0
"Nossa boninho, deixou pra anunciar os camarotes agora pra anunciar Arthur Aguiar e Pedro Scooby? CORAGEM MONA kkkkkkkkkkkkk #BBB22","Nossa boninho, deixou pra anunciar os camarotes agora pra anunciar Arthur Aguiar e Pedro Scooby? CORAGEM MONA kkkkkkkkkkkkk #BBB22",set(),0.0
só nomes que a gente já sabia. arthur aguiar e pedro scooby,só nomes que a gente já sabia. arthur aguiar e pedro scooby,set(),0.0
